YEAR;MONTH;DAY;INDEX
2020;2;23;2.715740740740741
2020;2;24;2.9033950617283946
2020;2;25;1.0466049382716052
2020;2;26;0.9591049382716048
2020;2;27;0.9929012345679011
2020;2;28;0.975462962962963
2020;2;29;2.316666666666667
2020;3;1;2.6949074074074075
2020;3;2;1.0314814814814817
2020;3;3;0.9078703703703703
2020;3;4;0.9120370370370371
2020;3;5;0.8305555555555555
2020;3;6;0.9015432098765432
2020;3;7;2.170679012345679
2020;3;8;2.5510802469135805
2020;3;9;2.859567901234568
2020;3;10;0.9191358024691358
2020;3;11;0.8490740740740741
2020;3;12;0.9250000000000002
2020;3;13;0.9432098765432096
2020;3;14;2.1882716049382713
2020;3;15;2.8930555555555553
2020;3;16;1.0169753086419755
2020;3;17;1.0368827160493825
2020;3;18;1.096296296296296
2020;3;19;1.2429012345679014
2020;3;20;1.2604938271604937
2020;3;21;2.483024691358025
2020;3;22;3.0461419753086414
2020;3;23;1.5726851851851853
2020;3;24;1.4899691358024691
2020;3;25;1.4083333333333332
2020;3;26;1.374382716049383
2020;3;27;1.3205246913580249
2020;3;28;2.7501543209876544
2020;3;29;3.2939814814814814
2020;3;30;2.8381172839506172
2020;3;31;3.097530864197531
2020;4;1;3.420987654320988
2020;4;2;3.488888888888889
2020;4;3;3.29320987654321
2020;4;4;3.5731481481481477
2020;4;5;3.787654320987654
2020;4;6;2.9856481481481483
2020;4;7;2.910493827160494
2020;4;8;2.8069444444444445
2020;4;9;2.6932098765432095
2020;4;10;2.681172839506173
2020;4;11;3.3581790123456785
2020;4;12;3.8094135802469133
2020;4;13;2.738888888888889
2020;4;14;2.5841049382716053
2020;4;15;2.587654320987655
2020;4;16;2.6587962962962965
2020;4;17;2.6697530864197527
2020;4;18;3.354320987654321
2020;4;19;3.4873456790123454
2020;4;20;2.6617283950617288
2020;4;21;2.776851851851851
2020;4;22;2.7762345679012346
2020;4;23;2.7162037037037035
2020;4;24;2.582716049382716
2020;4;25;3.172376543209877
2020;4;26;3.456635802469136
2020;4;27;2.39320987654321
2020;4;28;2.5294753086419752
2020;4;29;2.3348765432098766
2020;4;30;2.2439814814814816
2020;5;1;2.9679012345679014
2020;5;2;2.946296296296296
2020;5;3;2.962808641975309
2020;5;4;2.632253086419753
2020;5;5;2.6205246913580242
2020;5;6;2.131018518518518
2020;5;7;2.1050925925925927
2020;5;8;2.0401234567901234
2020;5;9;2.81604938271605
2020;5;10;3.121141975308642
2020;5;11;2.79783950617284
2020;5;12;1.8129629629629629
2020;5;13;2.0239197530864197
2020;5;14;1.8376543209876541
2020;5;15;2.016512345679012
2020;5;16;2.560493827160494
2020;5;17;2.9043209876543212
2020;5;18;1.7694444444444446
2020;5;19;1.9418209876543213
2020;5;20;1.8206790123456789
2020;5;21;1.6976851851851853
2020;5;22;1.6595679012345677
2020;5;23;2.4478395061728393
2020;5;24;2.9566358024691355
2020;5;25;1.5663580246913578
2020;5;26;1.5251543209876544
2020;5;27;1.5016975308641975
2020;5;28;1.3992283950617286
2020;5;29;1.351851851851852
2020;5;30;2.129320987654321
2020;5;31;2.8949074074074077
2020;6;1;1.5479938271604938
2020;6;2;1.5324074074074074
2020;6;3;1.4498456790123457
2020;6;4;1.5555555555555558
2020;6;5;1.36929012345679
2020;6;6;2.3305555555555553
2020;6;7;2.6725308641975314
2020;6;8;1.4260802469135803
2020;6;9;1.2912037037037039
2020;6;10;1.2645061728395062
2020;6;11;1.2362654320987654
2020;6;12;2.1888888888888887
2020;6;13;2.350462962962963
2020;6;14;2.546450617283951
2020;6;15;1.245216049382716
2020;6;16;1.1541666666666668
2020;6;17;1.2066358024691357
2020;6;18;1.2527777777777778
2020;6;19;1.177006172839506
2020;6;20;2.066820987654321
2020;6;21;2.551697530864198
2020;6;22;1.3094135802469138
2020;6;23;1.19320987654321
2020;6;24;2.225617283950617
2020;6;25;1.2225308641975312
2020;6;26;1.1381172839506173
2020;6;27;2.040123456790124
2020;6;28;2.505401234567901
2020;6;29;1.2134259259259261
2020;6;30;1.079320987654321
2020;7;1;1.9205246913580245
2020;7;2;1.0898148148148148
2020;7;3;1.0353395061728397
2020;7;4;1.9253086419753085
2020;7;5;2.4575617283950617
2020;7;6;1.1625
2020;7;7;1.10108024691358
2020;7;8;1.2040123456790124
2020;7;9;1.2291666666666667
2020;7;10;1.214969135802469
2020;7;11;1.970216049382716
2020;7;12;2.4066358024691357
2020;7;13;1.3101851851851851
2020;7;14;1.25679012345679
2020;7;15;1.2270061728395063
2020;7;16;1.1711419753086423
2020;7;17;1.1660493827160492
2020;7;18;2.0081790123456793
2020;7;19;2.538425925925926
2020;7;20;1.3185185185185186
2020;7;21;1.3183641975308644
2020;7;22;1.2558641975308644
2020;7;23;1.2953703703703705
2020;7;24;1.15
2020;7;25;1.9885802469135803
2020;7;26;2.460493827160494
2020;7;27;1.2516975308641978
2020;7;28;1.1944444444444444
2020;7;29;1.1888888888888889
2020;7;30;1.279166666666667
2020;7;31;1.3479938271604937
2020;8;1;2.3208333333333333
2020;8;2;2.6827160493827162
2020;8;3;1.3129629629629629
2020;8;4;1.2834876543209879
2020;8;5;1.2200617283950617
2020;8;6;1.2296296296296296
2020;8;7;1.2253086419753088
2020;8;8;2.04891975308642
2020;8;9;2.5425925925925927
2020;8;10;1.316820987654321
2020;8;11;1.223611111111111
2020;8;12;1.2876543209876543
2020;8;13;1.4634259259259261
2020;8;14;1.4027777777777777
2020;8;15;2.272376543209877
2020;8;16;2.584876543209877
2020;8;17;1.3939814814814815
2020;8;18;1.2135802469135806
2020;8;19;1.2356481481481483
2020;8;20;1.2151234567901235
2020;8;21;1.1824074074074076
2020;8;22;2.01466049382716
2020;8;23;2.4461419753086417
2020;8;24;1.2175925925925926
2020;8;25;1.1424382716049386
2020;8;26;1.1381172839506175
2020;8;27;1.1319444444444446
2020;8;28;1.1032407407407407
2020;8;29;2.0387345679012348
2020;8;30;2.401543209876544
2020;8;31;1.1413580246913582
2020;9;1;1.036111111111111
2020;9;2;1.0540123456790123
2020;9;3;1.0220679012345681
2020;9;4;0.9787037037037035
2020;9;5;2.0135802469135804
2020;9;6;2.581327160493827
2020;9;7;1.0237654320987655
2020;9;8;0.9685185185185186
2020;9;9;1.1538580246913581
2020;9;10;1.05679012345679
2020;9;11;1.1682098765432096
2020;9;12;2.014043209876543
2020;9;13;2.4799382716049383
2020;9;14;1.1839506172839507
2020;9;15;1.0441358024691358
2020;9;16;1.1245370370370371
2020;9;17;1.0589506172839507
2020;9;18;1.0779320987654322
2020;9;19;2.220833333333333
2020;9;20;2.7964506172839507
2020;9;21;1.1990740740740742
2020;9;22;0.9587962962962963
2020;9;23;0.9524691358024692
2020;9;24;0.9697530864197531
2020;9;25;0.9183641975308642
2020;9;26;1.920679012345679
2020;9;27;2.502006172839506
2020;9;28;0.9978395061728396
2020;9;29;0.942283950617284
2020;9;30;0.9430555555555554
2020;10;1;0.9310185185185185
2020;10;2;0.9679012345679011
2020;10;3;2.040432098765432
2020;10;4;2.6587962962962965
2020;10;5;1.1401234567901235
2020;10;6;1.1035493827160494
2020;10;7;1.0887345679012346
2020;10;8;1.1023148148148147
2020;10;9;1.064351851851852
2020;10;10;2.1581790123456788
2020;10;11;2.718981481481481
2020;10;12;1.166358024691358
2020;10;13;1.1046296296296296
2020;10;14;1.0939814814814814
2020;10;15;1.1069444444444443
2020;10;16;1.1538580246913581
2020;10;17;2.3311728395061726
2020;10;18;3.0285493827160495
2020;10;19;1.2706790123456788
2020;10;20;1.2402777777777778
2020;10;21;1.3225308641975309
2020;10;22;1.3205246913580246
2020;10;23;1.393827160493827
2020;10;24;2.3796296296296293
2020;10;25;3.0180555555555557
2020;10;26;1.4444444444444444
2020;10;27;1.352314814814815
2020;10;28;1.4029320987654321
2020;10;29;1.3939814814814815
2020;10;30;1.3907407407407408
2020;10;31;2.4890432098765434
2020;11;1;2.986265432098766
2020;11;2;1.5422839506172836
2020;11;3;1.5259259259259257
2020;11;4;2.6774691358024696
2020;11;5;1.5253086419753086
2020;11;6;1.6341049382716049
2020;11;7;2.6262345679012347
2020;11;8;3.116820987654321
2020;11;9;1.4844135802469136
2020;11;10;1.4381172839506173
2020;11;11;1.4589506172839508
2020;11;12;1.4544753086419755
2020;11;13;1.3950617283950617
2020;11;14;2.468518518518519
2020;11;15;2.984722222222222
2020;11;16;1.5234567901234568
2020;11;17;1.4839506172839505
2020;11;18;1.5089506172839506
2020;11;19;1.5399691358024692
2020;11;20;1.46141975308642
2020;11;21;2.5229938271604935
2020;11;22;3.080092592592593
2020;11;23;1.5260802469135801
2020;11;24;1.4858024691358025
2020;11;25;1.4878086419753087
2020;11;26;1.4925925925925927
